NO. 240	(0,1,1,16,27)
NO. 241	(1,1,1,15,24)
NO. 242	(0,2,1,16,25)
NO. 243	(0,2,1,16,25)
NO. 244	(0,1,1,16,26)
NO. 245	(1,1,1,15,25)
NO. 246	(0,2,1,16,26)
NO. 247	(0,2,1,16,26)
NO. 248	(0,1,1,16,27)
NO. 249	(1,1,1,14,25)
NO. 250	(0,2,1,15,26)
NO. 251	(0,2,1,15,26)
NO. 252	(0,1,1,15,27)
NO. 253	(1,1,1,14,26)
NO. 254	(0,2,1,15,27)
NO. 255	(0,2,1,15,27)
NO. 256	(0,1,1,15,28)
NO. 257	(1,2,1,13,21)
NO. 258	(0,3,1,14,22)
NO. 259	(0,3,1,14,22)
NO. 260	(0,2,1,14,23)
NO. 261	(1,2,1,13,22)
NO. 262	(0,3,1,14,23)
NO. 263	(0,3,1,15,23)
NO. 264	(0,2,1,14,24)
NO. 265	(1,1,1,14,22)
NO. 266	(0,2,1,15,23)
NO. 267	(0,2,1,15,23)
NO. 268	(0,1,1,15,24)
NO. 269	(1,1,1,14,23)
NO. 270	(0,2,1,16,24)
NO. 271	(0,2,1,16,24)
NO. 272	(0,1,1,16,25)
NO. 273	(1,1,1,14,22)
NO. 274	(0,2,1,15,23)
NO. 275	(0,2,1,15,23)
NO. 276	(0,1,1,15,24)
NO. 277	(1,1,1,14,23)
NO. 278	(0,2,1,16,24)
NO. 279	(0,2,1,16,24)
NO. 280	(0,1,1,16,25)
NO. 281	(1,1,1,12,23)
NO. 282	(0,2,1,14,24)
NO. 283	(0,2,1,13,24)
NO. 284	(0,1,1,14,25)
NO. 285	(1,1,1,13,24)
NO. 286	(0,2,1,15,25)
NO. 287	(0,2,1,15,25)
NO. 288	(0,1,1,15,26)
NO. 289	(1,1,1,12,22)
NO. 290	(0,2,1,14,23)
NO. 291	(0,2,1,14,23)
NO. 292	(0,1,1,13,24)
NO. 293	(1,1,1,13,23)
NO. 294	(0,2,1,14,24)
NO. 295	(0,2,1,15,24)
NO. 296	(0,1,1,15,25)
NO. 297	(1,1,1,13,23)
NO. 298	(0,2,1,15,24)
NO. 299	(0,2,1,15,24)
NO. 300	(0,1,1,14,25)
NO. 301	(1,1,1,14,24)
NO. 302	(0,2,1,15,25)
NO. 303	(0,2,1,16,25)
NO. 304	(0,1,1,15,26)
NO. 305	(1,1,1,13,23)
NO. 306	(0,2,1,15,24)
NO. 307	(0,2,1,15,24)
NO. 308	(0,1,1,14,25)
NO. 309	(1,1,1,14,24)
NO. 310	(0,2,1,15,25)
NO. 311	(0,2,1,16,25)
NO. 312	(0,1,1,15,26)
NO. 313	(1,1,1,11,24)
NO. 314	(0,2,1,14,25)
NO. 315	(0,2,1,12,25)
NO. 316	(0,1,1,13,26)
NO. 317	(1,1,1,13,25)
NO. 318	(0,2,1,14,26)
NO. 319	(0,2,1,14,26)
NO. 320	(0,1,1,14,27)
NO. 321	(1,1,1,13,22)
NO. 322	(0,2,1,14,23)
NO. 323	(0,2,1,15,23)
NO. 324	(0,1,1,15,24)
NO. 325	(1,1,1,13,23)
NO. 326	(0,2,1,14,24)
NO. 327	(0,2,1,15,24)
NO. 328	(0,1,1,14,25)
NO. 329	(1,1,1,15,23)
NO. 330	(0,2,1,16,24)
NO. 331	(0,2,1,16,24)
NO. 332	(0,1,1,16,25)
NO. 333	(1,1,1,16,24)
NO. 334	(0,2,1,17,25)
NO. 335	(0,2,1,16,25)
NO. 336	(0,1,1,16,26)
NO. 337	(1,1,1,15,23)
NO. 338	(0,2,1,16,24)
NO. 339	(0,2,1,16,24)
NO. 340	(0,1,1,16,25)
NO. 341	(1,1,1,16,24)
NO. 342	(0,2,1,17,25)
NO. 343	(0,2,1,16,25)
NO. 344	(0,1,1,16,26)
NO. 345	(1,1,1,13,24)
NO. 346	(0,2,1,15,25)
NO. 347	(0,2,1,14,25)
NO. 348	(0,1,1,15,26)
NO. 349	(1,1,1,14,25)
NO. 350	(0,2,1,15,26)
NO. 351	(0,2,1,15,26)
NO. 352	(0,1,1,15,27)
NO. 353	(1,1,1,13,23)
NO. 354	(0,2,1,14,24)
NO. 355	(0,2,1,14,24)
NO. 356	(0,1,1,14,25)
NO. 357	(1,1,1,14,24)
NO. 358	(0,2,1,14,25)
NO. 359	(0,2,1,15,25)
NO. 360	(0,1,1,14,26)
NO. 361	(1,1,1,14,24)
NO. 362	(0,2,1,15,25)
NO. 363	(0,2,1,15,25)
NO. 364	(0,1,1,15,26)
NO. 365	(1,1,1,15,25)
NO. 366	(0,2,1,15,26)
NO. 367	(0,2,1,16,26)
NO. 368	(0,1,1,15,27)
NO. 369	(1,1,1,14,24)
NO. 370	(0,2,1,15,25)
NO. 371	(0,2,1,15,25)
NO. 372	(0,1,1,15,26)
NO. 373	(1,1,1,15,25)
NO. 374	(0,2,1,15,26)
NO. 375	(0,2,1,16,26)
NO. 376	(0,1,1,15,27)
NO. 377	(1,1,1,12,25)
NO. 378	(0,2,1,14,26)
NO. 379	(0,2,1,13,26)
NO. 380	(0,1,1,14,27)
NO. 381	(1,1,1,15,26)
NO. 382	(0,2,1,14,27)
NO. 383	(0,2,1,15,27)
NO. 384	(0,1,1,14,28)
NO. 385	(1,2,1,14,22)
NO. 386	(0,3,1,15,23)
NO. 387	(0,3,1,15,23)
NO. 388	(0,2,1,15,24)
NO. 389	(1,2,1,14,23)
NO. 390	(0,3,1,15,24)
NO. 391	(0,3,1,15,24)
NO. 392	(0,2,1,15,25)
NO. 393	(1,1,1,15,23)
NO. 394	(0,2,1,17,24)
NO. 395	(0,2,1,16,24)
NO. 396	(0,1,1,16,25)
NO. 397	(1,1,1,16,24)
NO. 398	(0,2,1,17,25)
NO. 399	(0,2,1,16,25)
NO. 400	(0,1,1,16,26)
NO. 401	(1,1,1,15,23)
NO. 402	(0,2,1,17,24)
NO. 403	(0,2,1,16,24)
NO. 404	(0,1,1,16,25)
NO. 405	(1,1,1,16,24)
NO. 406	(0,2,1,17,25)
NO. 407	(0,2,1,16,25)
NO. 408	(0,1,1,16,26)
NO. 409	(1,1,1,14,24)
NO. 410	(0,2,1,16,25)
NO. 411	(0,2,1,15,25)
NO. 412	(0,1,1,15,26)
NO. 413	(1,1,1,15,25)
NO. 414	(0,2,1,16,26)
NO. 415	(0,2,1,15,26)
NO. 416	(0,1,1,15,27)
NO. 417	(1,1,1,14,23)
NO. 418	(0,2,1,15,24)
NO. 419	(0,2,1,15,24)
NO. 420	(0,1,1,16,25)
NO. 421	(1,1,1,14,24)
NO. 422	(0,2,1,15,25)
NO. 423	(0,2,1,15,25)
NO. 424	(0,1,1,15,26)
NO. 425	(1,1,1,15,24)
NO. 426	(0,2,1,15,25)
NO. 427	(0,2,1,16,25)
NO. 428	(0,1,1,16,26)
NO. 429	(1,1,1,14,25)
NO. 430	(0,2,1,15,26)
NO. 431	(0,2,1,16,26)
NO. 432	(0,1,1,16,27)
NO. 433	(1,1,1,15,24)
NO. 434	(0,2,1,15,25)
NO. 435	(0,2,1,16,25)
NO. 436	(0,1,1,16,26)
NO. 437	(1,1,1,14,25)
NO. 438	(0,2,1,15,26)
NO. 439	(0,2,1,16,26)
NO. 440	(0,1,1,16,27)
NO. 441	(1,1,1,14,25)
NO. 442	(0,2,1,15,26)
NO. 443	(0,2,1,15,26)
NO. 444	(0,1,1,15,27)
NO. 445	(1,1,1,14,26)
NO. 446	(0,2,1,15,27)
NO. 447	(0,2,1,15,27)
NO. 448	(0,1,1,14,28)
NO. 449	(1,1,1,13,23)
NO. 450	(0,2,1,13,24)
NO. 451	(0,2,1,15,24)
NO. 452	(0,1,1,14,25)
NO. 453	(1,1,1,12,24)
NO. 454	(0,2,1,13,25)
NO. 455	(0,2,1,15,25)
NO. 456	(0,1,1,14,26)
NO. 457	(1,1,1,15,24)
NO. 458	(0,2,1,17,25)
NO. 459	(0,2,1,16,25)
NO. 460	(0,1,1,16,26)
NO. 461	(1,1,1,16,25)
NO. 462	(0,2,1,17,26)
NO. 463	(0,2,1,17,26)
NO. 464	(0,1,1,16,27)
NO. 465	(1,1,1,15,24)
NO. 466	(0,2,1,17,25)
NO. 467	(0,2,1,16,25)
NO. 468	(0,1,1,16,26)
NO. 469	(1,1,1,16,25)
NO. 470	(0,2,1,17,26)
